"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"JUUL Labs, Inc.","Juul Labs","$40,000,000","$0","$40,000,000","2021","20210628","consumer-protection-related offenses","consumer protection violation","","JUUL agreed to pay $40 million to the state over the next six years for programs to prevent addiction to and study e-cigarettes in settlement of allegations the company deliberately marketing e-cigarettes to teens and misrepresented the potency and danger of nicotine in its products.","state","agency action","North Carolina Attorney General","civil","","","","","","North Carolina","","","","","","USA","California","privately held","","tobacco","electronic cigarettes","https://ncdoj.gov/attorney-general-stein-reaches-agreement-with-juul-for-40-million-and-drastic-business-changes/",""
"Juul Labs, Inc.","Juul Labs","$14,500,000","$0","$14,500,000","2021","20211123","safety-related offenses","tobacco litigation","","Attorney General Mark Brnovich announced a settlement with e-cigarette maker Juul Labs, Inc. that will require the company to pay $14.5 million and make significant changes to its corporate practices - ensuring JUUL products are not marketed or sold to youth in Arizona.","state","agency action","Arizona Attorney General","civil","","","","","","Arizona","","","","","","USA","California","privately held","","tobacco","electronic cigarettes","https://www.azag.gov/press-release/attorney-general-mark-brnovich-reaches-145-million-settlement-juul",""
