"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Automobile Club of Southern California","American Automobile Association","$19,500,000","$0","$19,500,000","2004","20041206","employment-related offenses","wage and hour violation","","misclassification","federal","private litigation","","civil","","Central District of California","01-cv-0731","William Bullock, et al v. Automobile Club Sc, et al","settlement","","","","","","","USA","Florida","non-profit","","miscellaneous services","automotive services; insurance","http://gbdhlegal.com/cases/bullock-v-automotive-club-of-southern-california/",""
"Automobile Club of Southern California","American Automobile Association","$35,000","$0","$35,000","2012","20120529","environment-related offenses","environmental violation","","air pollution","local","agency action","South Coast (CA) Air Quality Management District ","civil","","","","","","California","","","","","","USA","Florida","non-profit","","miscellaneous services","automotive services; insurance","http://www.aqmd.gov/docs/default-source/Agendas/Governing-Board/2012/2012-jul13-013.pdf?sfvrsn=2",""
