"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Chemoil Corporation","Glencore","$27,000,000","$0","$27,000,000","2016","20160929","environment-related offenses","environmental violation","","The Department of Justice and the U.S. Environmental Protection Agency announced a settlement with Chemoil Corporation that required the company to retire 65 million renewable fuel credits to resolve alleged violations of the Renewable Fuel Standard (RFS) program.  Chemoil was also required to pay a $27 million civil penalty.","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","","","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","https://www.justice.gov/opa/pr/chemoil-agrees-pay-civil-penalty-27-million-and-retire-total-more-71-million-credits",""
"Chemoil Corporation","Glencore","$16,594","$0","$16,594","2013","20130727","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1694848","","","Oklahoma","Oklahoma City","","73102","213112","213112: Support Activities for Oil and Gas Operations","Switzerland","","publicly traded","","financial services","commodity trading; mining","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Xstrata Copper","Glencore","$12,000","$0","$12,000","2012","20120824","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
"Xstrata Copper","Glencore","$7,500","$0","$7,500","2011","20110225","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"Glencore","Glencore","$10,000","$0","$10,000","2006","20060601","environment-related offenses","environmental violation","","air pollution violation","state","agency action","California Air Resources Board","civil","","","","","","California","","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","https://ww2.arb.ca.gov/glencore-settlement",""
"Sherwin Alumina Company, LLC","Glencore","$58,500","$0","$58,500","2015","20150507","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2015.pdf",""
"Sherwin Alumina, L.P.","Glencore","$23,200","$0","$23,200","2008","20081204","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2009.pdf",""
"Sherwin Alumina, L.P.","Glencore","$20,488","$0","$20,488","2007","20070810","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2007.pdf",""
"Sherwin Alumina, L.P.","Glencore","$6,300","$0","$6,300","2003","20031221","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2004.pdf",""
"Corpus Christi Alumina LLC","Glencore","$32,400","$0","$32,400","2021","20210614","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","https://data.texas.gov/dataset/Texas-Commission-on-Environmental-Quality-Administ/u66a-qggj",""
"Chemoil Terminals Corporation","Glencore","$20,000","$0","$20,000","2006","20060308","environment-related offenses","environmental violation","","air pollution","local","agency action","South Coast (CA) Air Quality Management District ","civil","","","","","","California","","","","","","Switzerland","","publicly traded","","financial services","commodity trading; mining","http://www3.aqmd.gov/hb/2006/July/060717a.html",""
