"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"IDT Energy Inc.","Genie Energy","$3,000,000","$0","$3,000,000","2018","20181119","consumer-protection-related offenses","consumer protection violation","","Agreed to pay $3 million in refunds in settlement of allegations it used deceptive marketing to sell its electricity contracts.","state","agency action","Illinois Attorney General","civil","","","","","","Illinois","","","","","","USA","New Jersey","publicly traded","GNE","miscellaneous energy products and systems","power reselling; oil & gas","https://web.archive.org/web/20190517194022/http://www.illinoisattorneygeneral.gov/pressroom/2018_11/20181119b.html",""
"IDT Energy, Inc.","Genie Energy","$1,360,000","$0","$1,360,000","2018","20180606","consumer-protection-related offenses","consumer protection violation","","","state","agency action","New Jersey Attorney General","civil","","","","","","New Jersey","","","","","","USA","New Jersey","publicly traded","GNE","miscellaneous energy products and systems","power reselling; oil & gas","https://nj.gov/oag/newsreleases18/pr20180606a.html",""
"IDT Energy, Inc.","Genie Energy","$2,500,000","$0","$2,500,000","2015","20150806","consumer-protection-related offenses","consumer protection violation","","","state","agency action","Pennsylvania Attorney General","civil","","","","","","Pennsylvania","","","","","","USA","New Jersey","publicly traded","GNE","miscellaneous energy products and systems","power reselling; oil & gas","AG Kane: Third Settlement with Electric Generation Supplier Would Provide 2.4 Million Dollars More in Refunds, Targeted News Service, August 6, 2015 (via Nexis).",""
"IDT Energy Inc.","Genie Energy","$39,000","$0","$39,000","2013","20131017","consumer-protection-related offenses","consumer protection violation","","The settlement with IDT Energy followed an informal investigation into 21 consumer complaints in connection with marketing incidents with one of the company's independent sales agents.","state","agency action","Pennsylvania Public Utility Commission","civil","","","","","","Pennsylvania","","","","","","USA","New Jersey","publicly traded","GNE","miscellaneous energy products and systems","power reselling; oil & gas","https://www.puc.pa.gov/press-release/2013/puc-approves-settlements-for-two-electric-suppliers-regarding-alleged-marketing-practices-violations",""
"IDT Energy, Inc.","Genie Energy","$6,750,000","$0","$6,750,000","2016","20160630","consumer-protection-related offenses","consumer protection violation","","The Pennsylvania Public Utility Commission approved a settlement under which IDT Energy, Inc. (IDT), an electric generation supplier, agreed to pay more than $6.75 million in consumer refunds and penalties in connection with alleged deceptive actions that triggered thousands of consumer complaints during the Polar Vortex winter of 2013-14.","state","agency action","Pennsylvania Public Utility Commission","civil","","","","","","Pennsylvania","","","","","","USA","New Jersey","publicly traded","GNE","miscellaneous energy products and systems","power reselling; oil & gas","https://www.puc.pa.gov/press-release/2016/puc-orders-675-million-in-refunds-penalties-against-idt-energy-accused-of-deceptive-polar-vortex-marketing-and-billing-practices",""
