"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"BOMBARDIER AEROSPACE","Bombardier","$125,000","$0","$125,000","2014","20140214","safety-related offenses","aviation safety violation","","HAZ MAT ","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","Canada","","publicly traded","","aerospace and military contracting","aerospace; rail systems","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"BOMBARDIER SERVICES CORPORATION","Bombardier","$30,000","$0","$30,000","2010","20100730","safety-related offenses","aviation safety violation","","MAINTENANCE ","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","Canada","","publicly traded","","aerospace and military contracting","aerospace; rail systems","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"BOMBARDIER SERVICES CORPORATION","Bombardier","$30,000","$0","$30,000","2010","20100730","safety-related offenses","aviation safety violation","","MAINTENANCE ","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","Canada","","publicly traded","","aerospace and military contracting","aerospace; rail systems","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"BOMBARDIER SERVICES CORPORATION","Bombardier","$21,000","$0","$21,000","2000","20000425","safety-related offenses","aviation safety violation","","HAZ MAT ","federal","agency action","Federal Aviation Administration","civil","","","1999EA740113 ","","","","","","","","","Canada","","publicly traded","","aerospace and military contracting","aerospace; rail systems","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"BOMBARDIER SERVICES CORPORATION","Bombardier","$20,000","$0","$20,000","2010","20100730","safety-related offenses","aviation safety violation","","MAINTENANCE ","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","Canada","","publicly traded","","aerospace and military contracting","aerospace; rail systems","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"BOMBARDIER SERVICES CORPORATION","Bombardier","$6,000","$0","$6,000","2007","20070528","safety-related offenses","aviation safety violation","","MAINTENANCE ","federal","agency action","Federal Aviation Administration","civil","","","2007NM060010 ","","","","","","","","","Canada","","publicly traded","","aerospace and military contracting","aerospace; rail systems","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"Bombardier Transportation (Holdings) USA, Inc.","Bombardier","$29,077","$0","$29,077","2016","20160106","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","28-CA-137673","","","Arizona","Phoenix","","","","","Canada","","publicly traded","","aerospace and military contracting","aerospace; rail systems","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"LEARJET INC","Bombardier","$6,000","$0","$6,000","2009","20090305","safety-related offenses","aviation safety violation","","DRUG TESTING ","federal","agency action","Federal Aviation Administration","civil","","","2008WP910071 ","","","","","","","","","Canada","","publicly traded","","aerospace and military contracting","aerospace; rail systems","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"LEARJET INC","Bombardier","$112,500","$0","$112,500","2015","20150306","safety-related offenses","aviation safety violation","","QUAL CONTROL ","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","Canada","","publicly traded","","aerospace and military contracting","aerospace; rail systems","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"LEARJET INC","Bombardier","$86,000","$0","$86,000","2005","20050427","safety-related offenses","aviation safety violation","","HAZ MAT ","federal","agency action","Federal Aviation Administration","civil","","","2002CE710055 ","","","","","","","","","Canada","","publicly traded","","aerospace and military contracting","aerospace; rail systems","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"LEARJET INC","Bombardier","$45,000","$0","$45,000","2005","20050427","safety-related offenses","aviation safety violation","","HAZ MAT ","federal","agency action","Federal Aviation Administration","civil","","","2002CE710018 ","","","","","","","","","Canada","","publicly traded","","aerospace and military contracting","aerospace; rail systems","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
