"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"RANDOM HOUSE, INC.","Bertelsmann","$9,000","$0","$9,000","2001","20010618","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Maryland","WESTMINSTER","400 HAHN ROAD","21157","000000","","Germany","","privately held","","media","media; publishing","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Penguin Group (USA) Inc.","Bertelsmann","$90,000,000","$0","$90,000,000","2014","20141121","competition-related offenses","price-fixing or anti-competitive practices","","A group of states sued several leading book publishers and Apple Inc. alleging they conspired to fix the price of electronic books. The publishers agreed to pay a total of $166 million while Apple ended up paying $450 million. Penguin's share was $90 million.","state","agency action","Multistate Attorneys General Case","civil","","Southern District of New York","1:12-cv-03394","Texas et al. v. Penguin Group et al.","","","","","","","","Germany","","privately held","","media","media; publishing","http://app3.naag.org/antitrust/search/viewCivilLitigation.php?trans_id=630",""
"ARVATO DIGITAL SERVICES, LLC","Bertelsmann","$86,800","$0","$86,800","2014","20140606","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","PLEASANT PRAIRIE","11500 80TH AVENUE","53158","493110","493110: General Warehousing and Storage","Germany","","privately held","","media","media; publishing","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BERTELSMANN, INC.","Bertelsmann","$5,000","$0","$5,000","2004","20041026","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","04-2005-2012","","","North Carolina","WEAVERVILLE","108 MONTICELLO RD.","28787","334612","334612: Prerecorded Compact Disc (except Software), Tape, and Record Reproducing","Germany","","privately held","","media","media; publishing","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
